id;provincia;ingreso;zona;obra_social;edad;jubilado;bancarizado;negativo;casado;hijos;sexo;auto
503;BUENOS_AIRES;30M-50M;ZONA_OESTE;126205;50;NO;SI;NO;SI;SI;F;NO
504;JUJUY;10M-20M;INTERIOR;otros;38;NO;SI;NO;NO;SI;M;NO
505;CORDOBA;10M-20M;INTERIOR;400909;38;NO;NO;NO;NO;NO;F;SI
506;BUENOS_AIRES;10M-20M;ZONA_NORTE;113809;35;NO;NO;NO;NO;NO;M;SI
507;RIO_NEGRO;10M-20M;INTERIOR;126205;42;NO;NO;NO;NO;NO;F;NO
508;ENTRE_RIOS;20M-30M;INTERIOR;otros;32;NO;SI;SI;NO;NO;M;NO
509;BUENOS_AIRES;10M-20M;ZONA_NORTE;otros;54;NO;SI;NO;NO;NO;M;NO
510;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;113809;60;NO;SI;NO;NO;NO;M;SI
511;BUENOS_AIRES;30M-50M;INTERIOR;400800;41;NO;SI;NO;NO;SI;M;SI
512;BUENOS_AIRES;20M-30M;ZONA_OESTE;otros;41;NO;SI;NO;NO;NO;M;NO
513;BUENOS_AIRES;20M-30M;INTERIOR;otros;43;NO;SI;SI;NO;SI;M;NO
514;ENTRE_RIOS;0M-10M;INTERIOR;otros;37;NO;NO;SI;NO;NO;M;NO
515;SANTA_FE;50M+;INTERIOR;400800;33;NO;SI;NO;NO;NO;F;NO
516;BUENOS_AIRES;0M-10M;ZONA_NORTE;106302;50;NO;NO;NO;NO;NO;F;SI
517;BUENOS_AIRES;30M-50M;ZONA_SUR;otros;44;NO;NO;SI;NO;NO;F;SI
518;BUENOS_AIRES;20M-30M;ZONA_OESTE;otros;37;NO;NO;NO;NO;NO;M;SI
519;BUENOS_AIRES;30M-50M;ZONA_OESTE;otros;32;NO;NO;NO;NO;NO;M;SI
520;JUJUY;0M-10M;INTERIOR;106302;47;NO;SI;NO;NO;NO;M;NO
521;BUENOS_AIRES;10M-20M;ZONA_OESTE;126205;27;NO;NO;NO;NO;NO;M;SI
522;MENDOZA;20M-30M;INTERIOR;otros;33;NO;SI;NO;NO;NO;M;SI
523;BUENOS_AIRES;10M-20M;INTERIOR;otros;40;NO;SI;SI;NO;NO;M;SI
524;SALTA;10M-20M;INTERIOR;otros;58;NO;SI;NO;SI;NO;M;SI
525;MENDOZA;0M-10M;INTERIOR;otros;50;NO;NO;NO;NO;SI;M;SI
526;BUENOS_AIRES;30M-50M;ZONA_SUR;otros;39;NO;NO;NO;NO;NO;M;SI
527;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;113809;58;NO;SI;NO;NO;NO;F;NO
528;BUENOS_AIRES;30M-50M;ZONA_NORTE;400800;51;NO;NO;NO;SI;NO;F;SI
529;CAPITAL_FEDERAL;50M+;CAPITAL_FEDERAL;400800;42;NO;SI;NO;NO;NO;M;NO
530;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;50;NO;SI;SI;NO;NO;M;SI
531;BUENOS_AIRES;30M-50M;INTERIOR;otros;46;NO;NO;NO;NO;NO;F;SI
532;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;59;NO;SI;NO;NO;SI;F;NO
533;CORRIENTES;30M-50M;INTERIOR;otros;57;NO;SI;NO;SI;SI;M;SI
534;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;500807;71;SI;NO;NO;NO;NO;M;SI
535;BUENOS_AIRES;10M-20M;INTERIOR;otros;35;NO;SI;NO;NO;NO;M;SI
536;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;otros;38;NO;SI;NO;NO;SI;M;NO
537;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;400800;33;NO;NO;NO;NO;NO;M;NO
538;CORDOBA;0M-10M;INTERIOR;otros;34;NO;SI;NO;NO;NO;M;SI
539;BUENOS_AIRES;10M-20M;INTERIOR;otros;32;NO;NO;NO;NO;NO;M;NO
540;SANTA_FE;20M-30M;INTERIOR;otros;46;NO;SI;NO;NO;SI;F;SI
541;CHACO;10M-20M;INTERIOR;otros;56;NO;SI;NO;SI;SI;M;SI
542;ENTRE_RIOS;10M-20M;INTERIOR;400800;50;NO;NO;NO;NO;NO;M;SI
543;BUENOS_AIRES;10M-20M;ZONA_NORTE;126205;49;NO;SI;NO;NO;NO;M;SI
544;CHACO;10M-20M;INTERIOR;126205;53;NO;SI;NO;NO;NO;F;NO
545;BUENOS_AIRES;30M-50M;ZONA_NORTE;otros;46;NO;SI;NO;NO;NO;M;SI
546;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;40;NO;NO;NO;NO;NO;M;NO
547;BUENOS_AIRES;10M-20M;ZONA_SUR;126205;55;NO;SI;NO;NO;NO;F;NO
548;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;46;NO;SI;NO;NO;NO;M;SI
549;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;otros;44;NO;SI;NO;NO;NO;M;SI
550;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;39;NO;NO;NO;NO;NO;M;NO
551;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;113809;45;NO;SI;NO;NO;NO;F;SI
552;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;44;NO;SI;NO;NO;NO;M;SI
553;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;113809;38;NO;NO;NO;NO;NO;F;SI
554;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;37;NO;NO;NO;SI;SI;M;NO
555;MISIONES;10M-20M;INTERIOR;otros;58;NO;SI;NO;SI;NO;M;SI
556;CORDOBA;30M-50M;INTERIOR;400909;51;NO;SI;NO;SI;NO;M;SI
557;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;52;NO;SI;NO;NO;SI;M;SI
558;CORDOBA;10M-20M;INTERIOR;otros;41;NO;SI;NO;NO;NO;M;NO
559;BUENOS_AIRES;10M-20M;INTERIOR;otros;28;NO;NO;NO;NO;NO;F;NO
560;CHUBUT;10M-20M;INTERIOR;otros;57;NO;SI;NO;NO;NO;F;SI
561;JUJUY;0M-10M;INTERIOR;otros;33;NO;SI;NO;NO;NO;M;SI
562;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;113809;40;NO;NO;NO;NO;NO;M;SI
563;MISIONES;30M-50M;INTERIOR;otros;39;NO;SI;NO;NO;NO;M;NO
564;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;400909;37;NO;SI;NO;NO;NO;M;NO
565;BUENOS_AIRES;0M-10M;ZONA_SUR;otros;69;NO;NO;NO;NO;NO;M;SI
566;SANTA_FE;20M-30M;INTERIOR;otros;53;NO;SI;NO;NO;SI;M;SI
567;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;113809;30;NO;NO;NO;NO;NO;M;SI
568;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;50;NO;SI;NO;NO;SI;F;NO
569;BUENOS_AIRES;20M-30M;ZONA_OESTE;otros;38;NO;SI;NO;SI;SI;M;SI
570;CORDOBA;10M-20M;INTERIOR;126205;35;NO;SI;NO;NO;NO;M;NO
571;BUENOS_AIRES;10M-20M;INTERIOR;126205;39;NO;NO;NO;SI;SI;M;SI
572;MISIONES;30M-50M;INTERIOR;otros;53;NO;NO;NO;NO;NO;M;SI
573;MENDOZA;30M-50M;INTERIOR;otros;30;NO;SI;NO;NO;NO;M;SI
574;BUENOS_AIRES;10M-20M;INTERIOR;otros;57;NO;SI;NO;NO;NO;F;NO
575;CAPITAL_FEDERAL;50M+;CAPITAL_FEDERAL;400800;37;NO;SI;NO;NO;NO;F;NO
576;SANTA_FE;20M-30M;INTERIOR;otros;50;NO;SI;NO;NO;NO;F;SI
577;CORDOBA;10M-20M;INTERIOR;126205;42;NO;SI;NO;NO;SI;M;SI
578;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;406;32;NO;NO;NO;NO;NO;M;NO
579;BUENOS_AIRES;30M-50M;ZONA_SUR;400800;47;NO;SI;NO;SI;NO;M;SI
580;CAPITAL_FEDERAL;50M+;CAPITAL_FEDERAL;otros;52;NO;SI;NO;NO;NO;F;SI
581;BUENOS_AIRES;10M-20M;INTERIOR;126205;38;NO;NO;NO;NO;NO;M;SI
582;BUENOS_AIRES;30M-50M;ZONA_SUR;otros;50;NO;SI;NO;SI;SI;M;SI
583;CATAMARCA;50M+;INTERIOR;otros;44;NO;SI;NO;NO;NO;M;SI
584;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;113809;61;NO;SI;NO;NO;NO;F;NO
585;MENDOZA;10M-20M;INTERIOR;126205;47;NO;NO;NO;NO;NO;M;NO
586;BUENOS_AIRES;10M-20M;INTERIOR;otros;41;NO;NO;NO;NO;SI;M;SI
587;CAPITAL_FEDERAL;50M+;CAPITAL_FEDERAL;113809;58;NO;SI;NO;NO;NO;F;SI
588;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;30;NO;NO;NO;NO;NO;M;NO
589;ENTRE_RIOS;30M-50M;INTERIOR;400800;47;NO;NO;NO;SI;NO;M;SI
590;BUENOS_AIRES;10M-20M;INTERIOR;126205;50;NO;SI;NO;SI;NO;M;SI
591;BUENOS_AIRES;30M-50M;INTERIOR;otros;45;NO;SI;NO;NO;NO;M;SI
592;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;400800;39;NO;SI;NO;NO;NO;F;SI
593;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;42;NO;SI;SI;NO;NO;M;SI
594;MISIONES;0M-10M;INTERIOR;otros;40;NO;SI;NO;NO;NO;F;NO
595;BUENOS_AIRES;0M-10M;INTERIOR;otros;35;NO;NO;NO;NO;NO;M;NO
